Name,State,State_ID,Latitude,Longitude,Population,Density,Timezone,join_key
Plattsburgh,New York,NY,446.951,-734.563,28740,1495.0,America/New_York,PLATTSBURGH_NY
Pocatello,Idaho,ID,428.724,-1.124.646,72878,657.0,America/Boise,POCATELLO_ID
Ponce,Puerto Rico,PR,18.012,-666.198,113401,1426.0,America/Puerto_Rico,PONCE_PR
Portland,Maine,ME,43.6615,-70.2553,68408,1200.0,America/New_York,PORTLAND_ME
Portland,Oregon,OR,455.372,-122.65,2074775,1894.0,America/Los_Angeles,PORTLAND_OR
Providence,Rhode Island,RI,41.823,-714.187,1203230,3773.0,America/New_York,PROVIDENCE_RI
Pueblo,Colorado,CO,382.705,-1.046.112,143932,789.0,America/Denver,PUEBLO_CO
Raleigh,North Carolina,NC,358.325,-786.435,1038738,1254.0,America/New_York,RALEIGH_NC
Rapid City,South Dakota,SD,440.716,-1.032.204,92664,546.0,America/Denver,RAPID CITY_SD
Redding,California,CA,405.698,-122.365,121313,599.0,America/Los_Angeles,REDDING_CA
Redmond,Oregon,OR,442.631,-1.211.798,34240,744.0,America/Los_Angeles,REDMOND_OR
Reno,Nevada,NV,395.497,-1.198.483,445020,907.0,America/Los_Angeles,RENO_NV
Rhinelander,Wisconsin,WI,456.361,-894.256,8830,354.0,America/Chicago,RHINELANDER_WI
Richmond,Virginia,VA,375.295,-774.756,1075798,1484.0,America/New_York,RICHMOND_VA
Roanoke,Virginia,VA,372.785,-79.958,214674,900.0,America/New_York,ROANOKE_VA
Rochester,Minnesota,MN,44.0121,-92.4802,121395,800.0,America/Chicago,ROCHESTER_MN
Rochester,New York,NY,43.168,-776.162,703952,2220.0,America/New_York,ROCHESTER_NY
Rock Springs,Wyoming,WY,415.951,-1.092.238,25913,451.0,America/Denver,ROCK SPRINGS_WY
Roswell,New Mexico,NM,33.373,-1.045.294,48889,617.0,America/Denver,ROSWELL_NM
Sacramento,California,CA,385.667,-1.214.683,1898019,2029.0,America/Los_Angeles,SACRAMENTO_CA
Saginaw,Michigan,MI,434.199,-839.501,117958,1087.0,America/Detroit,SAGINAW_MI
Salt Lake City,Utah,UT,407.777,-1.119.306,1098526,699.0,America/Denver,SALT LAKE CITY_UT
San Angelo,Texas,TX,314.424,-1.004.506,101004,653.0,America/Chicago,SAN ANGELO_TX
San Antonio,Texas,TX,294.658,-985.253,2049293,1231.0,America/Chicago,SAN ANTONIO_TX
San Diego,California,CA,328.312,-1.171.225,3220118,1686.0,America/Los_Angeles,SAN DIEGO_CA
San Francisco,California,CA,377.562,-122.443,3592294,7256.0,America/Los_Angeles,SAN FRANCISCO_CA
San Jose,California,CA,373.019,-1.218.486,1798103,2218.0,America/Los_Angeles,SAN JOSE_CA
San José,Costa Rica,CR,9.9281,-84.0907,340000,7000.0,America/Costa_Rica,SAN JOSÉ_CR
San Juan,Puerto Rico,PR,184.037,-660.636,323279,3157.0,America/Puerto_Rico,SAN JUAN_PR
San Luis Obispo,California,CA,352.669,-1.206.691,62290,1374.0,America/Los_Angeles,SAN LUIS OBISPO_CA
Santa Ana,California,CA,337.366,-1.178.819,332318,4689.0,America/Los_Angeles,SANTA ANA_CA
Santa Barbara,California,CA,344.285,-1.197.202,202401,1808.0,America/Los_Angeles,SANTA BARBARA_CA
Santa Fe,New Mexico,NM,356.619,-1.059.819,111269,625.0,America/Denver,SANTA FE_NM
Santa Maria,California,CA,349.334,-1.204.432,140545,1815.0,America/Los_Angeles,SANTA MARIA_CA
Sarasota,Florida,FL,273.386,-825.431,722243,1528.0,America/New_York,SARASOTA_FL
Sault Ste. Marie,Michigan,MI,464.817,-843.723,13420,351.0,America/Detroit,SAULT STE. MARIE_MI
Savannah,Georgia,GA,320.281,-811.784,276295,536.0,America/New_York,SAVANNAH_GA
Seattle,Washington,WA,476.211,-1.223.244,3789215,3469.0,America/Los_Angeles,SEATTLE_WA
Seoul,Seoul, Incheon ,375.665,126.978,9962000,16000.0,Asia/Seoul,SEOUL_INCHEON
Shreveport,Louisiana,LA,324.656,-937.956,280062,672.0,America/Chicago,SHREVEPORT_LA
Sioux City,Iowa,IA,424.959,-963.901,106455,545.0,America/Chicago,SIOUX CITY_IA
Sioux Falls,South Dakota,SD,435.397,-96.732,187239,907.0,America/Chicago,SIOUX FALLS_SD
Sitka,Alaska,AK,572.401,-1.353.153,8493,1.0,America/Sitka,SITKA_AK
South Bend,Indiana,IN,416.767,-862.696,280498,938.0,America/Indiana/Indianapolis,SOUTH BEND_IN
Spokane,Washington,WA,476.671,-117.433,412275,1247.0,America/Los_Angeles,SPOKANE_WA
Springfield,Illinois,IL,39.7817,-89.6501,114394,700.0,America/Chicago,SPRINGFIELD_IL
Springfield,Missouri,MO,371.943,-932.916,288090,786.0,America/Chicago,SPRINGFIELD_MO
