ORIGIN_AIRPORT,DESTINATION_AIRPORT,num_voli,mean_scheduled_time
BOI,SEA,1033,89.01742497579865
BOI,SFO,1380,112.88913043478261
BOI,SLC,1576,67.93083756345177
BOS,ACK,117,46.914529914529915
BOS,ACY,181,73.83977900552486
BOS,ATL,4620,177.5512987012987
BOS,AUS,399,276.09774436090225
BOS,BNA,623,175.52969502407706
BOS,BUF,1227,90.65688671556642
BOS,BWI,4345,95.13026467203683
BOS,CAK,294,113.91156462585035
BOS,CHS,334,147.04790419161677
BOS,CLE,1807,125.03431101272828
BOS,CLT,3536,144.48246606334843
BOS,CMH,215,139.37209302325581
BOS,CVG,276,145.81159420289856
BOS,DAL,114,265.35087719298247
BOS,DCA,7504,96.6741737739872
BOS,DEN,2374,282.0804549283909
BOS,DFW,3017,260.12993039443154
BOS,DTW,3380,134.1423076923077
BOS,EWR,4379,88.18565882621603
BOS,FLL,2159,206.00138953219084
BOS,HOU,911,268.52360043907794
BOS,IAD,2000,101.3005
BOS,IAH,1654,259.60399032648127
BOS,IND,298,165.0503355704698
BOS,JAX,676,173.4689349112426
BOS,JFK,4933,80.05230083113725
BOS,LAS,1015,354.9408866995074
BOS,LAX,4015,388.4876712328767
BOS,LGA,6757,79.49889003995857
BOS,LGB,274,381.7664233576642
BOS,MCI,596,218.3976510067114
BOS,MCO,2827,191.14892111779272
BOS,MDW,1361,167.8802351212344
BOS,MIA,2289,212.64700742682393
BOS,MKE,590,162.83898305084745
BOS,MSP,1798,195.86484983314793
BOS,MSY,330,222.7
BOS,MVY,84,50.833333333333336
BOS,MYR,328,129.1981707317073
BOS,OAK,102,391.3529411764706
BOS,ORD,6431,171.60239465090964
BOS,PBI,1581,195.6495888678052
BOS,PDX,489,378.25562372188136
BOS,PHL,5180,95.89189189189189
BOS,PHX,1413,349.7508846426044
BOS,PIT,1140,107.53684210526316
BOS,RDU,1512,121.80952380952381
BOS,RIC,2247,106.5692033822875
BOS,RSW,1606,213.20610211706102
BOS,SAN,953,384.93704092339976
BOS,SAV,332,157.00301204819277
BOS,SEA,1481,374.5995948683322
BOS,SFO,3837,399.1782642689601
BOS,SJC,206,391.5485436893204
BOS,SJU,1017,237.10914454277287
BOS,SLC,573,330.3752181500873
BOS,SRQ,176,208.76704545454547
BOS,STL,665,190.78195488721803
BOS,STT,203,241.66502463054186
BOS,TPA,1090,200.4348623853211
BPT,DFW,932,76.24678111587983
BQK,ATL,872,70.69495412844037
BQN,EWR,289,237.2491349480969
BQN,FLL,163,151.58282208588957
BQN,JFK,445,232.81348314606743
BQN,MCO,441,172.66666666666666
BRD,MSP,581,52.795180722891565
BRO,DFW,1023,103.31671554252199
BRO,IAH,1279,77.4917904612979
BRW,ANC,325,109.64615384615385
BRW,FAI,326,79.5521472392638
BRW,SCC,180,44.388888888888886
BTM,SLC,654,82.0
BTR,ATL,2494,89.4907778668805
BTR,DFW,2263,90.50861688024746
BTR,IAH,2291,71.71890004364906
BTV,ATL,301,173.18936877076413
BTV,DTW,516,119.10271317829458
BTV,EWR,513,81.30799220272904
BTV,JFK,1004,84.23107569721115
BTV,ORD,525,150.03809523809525
